충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
한경면(청수리)청수마을회관,제주특별자치도 제주시 한경면 대한로 1036,,1,단독,사용가능,2019
한경면(청수리)청수마을회관,제주특별자치도 제주시 한경면 대한로 1036,,2,단독,사용가능,2019
성읍119지역센터,제주특별자치도 서귀포시 성산읍 성읍서문로 75,,1,단독,사용가능,2020
신흥2리 리사무소,제주특별자치도 서귀포시 남원읍 중산간동로 5807,,1,단독,사용가능,2020
영락리사무소,제주특별자치도 서귀포시 대정읍 영락중동로 11,,1,단독,사용가능,2020
산양리 다목적회관,제주특별자치도 제주시 한경면 연명로 8-1,,1,단독,사용가능,2020
도로 주차장,제주특별자치도 제주시 한림읍 금악리 1242-8,,1,단독,사용가능,2020
경제통상진흥원,제주특별자치도 제주시 연삼로 473,,91,단독,충전중,2020
한림항 주차장,제주특별자치도 제주시 한림읍 한림리 1377-48,,1,단독,사용가능,2020
도순마을회관,제주특별자치도 서귀포시 도순남로 29번길 13,,21,동시,사용가능,2020
도순마을회관,제주특별자치도 서귀포시 도순남로 29번길 13,,22,동시,사용가능,2020
성산국민체육센터,제주특별자치도 서귀포시 성산읍 일주동로 4024,,91,단독,사용가능,2021
성산국민체육센터,제주특별자치도 서귀포시 성산읍 일주동로 4024,,92,단독,사용가능,2020
제주감귤농협유통사업단(2유통센터),제주특별자치도 서귀포시 남원읍 태신로 130번길 170,,21,동시,사용가능,2020
제주감귤농협유통사업단(2유통센터),제주특별자치도 서귀포시 남원읍 태신로 130번길 170,,22,동시,사용가능,2020
하례2리 마을회,제주특별자치도 서귀포시 남원읍 하례돈야로 83,,21,동시,사용가능,2021
하례2리 마을회,제주특별자치도 서귀포시 남원읍 하례돈야로 83,,22,동시,사용가능,2021
제주동부하수처리장,제주특별자치도 제주시 월정서로 162,,21,동시,점검중,2020
제주동부하수처리장,제주특별자치도 제주시 월정서로 162,,22,동시,점검중,2020
항일기념관,제주특별자치도 제주시 조천읍 신북로 303,,21,동시,사용가능,2020
항일기념관,제주특별자치도 제주시 조천읍 신북로 303,,22,동시,사용가능,2020
한국산업인력공단 제주지사,제주특별자치도 제주시 복지로 19,,21,동시,사용가능,2021
한국산업인력공단 제주지사,제주특별자치도 제주시 복지로 19,,22,동시,사용가능,2021
서부하수처리장,제주특별자치도 제주시 한경면 판포리 1459-1,,21,동시,사용가능,2021
서부하수처리장,제주특별자치도 제주시 한경면 판포리 1459-1,,22,동시,사용가능,2021
애월국민체육센터,제주특별자치도 제주시 하귀동남1길 22,,21,동시,사용가능,2021
애월국민체육센터,제주특별자치도 제주시 하귀동남1길 22,,22,동시,충전중,2021
건강쉼터,제주특별자치도 제주시 한경면 두모리 2962-1,,21,동시,사용가능,2020
건강쉼터,제주특별자치도 제주시 한경면 두모리 2962-1,,22,동시,사용가능,2020
금능해수욕장 주차장,제주특별자치도 제주시 한림읍 금능리 2018,,21,동시,사용가능,2020
