"운영기관","충전소","충전기ID","충전기타입","시설구분(대)","시설구분(소)","지역","시군구","주소","이용가능시간","이용자 제한","충전용량","편의제공","비고"
"서울시","마곡중앙광장공영주차장","02","DC콤보","주차시설","공영주차장","서울특별시","강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝","24시간","","급속(40kW단독)","","기기 고장(이용 불가)"
"서울시","마곡중앙광장공영주차장","03","DC콤보","주차시설","공영주차장","서울특별시","강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝","24시간","","급속(40kW단독)","","기기 고장(이용 불가)"
"서울시","마곡중앙광장공영주차장","04","DC콤보","주차시설","공영주차장","서울특별시","강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝","24시간","","급속(40kW단독)","","기기 고장(이용 불가)"
"서울시","마곡중앙광장공영주차장","05","DC콤보","주차시설","공영주차장","서울특별시","강서구 ","서울특별시 강서구 마곡중앙5로 지하9 (마곡동, 마곡중앙광장) 공영주차장 지하2층 진입로 왼쪽 맨끝","24시간","","급속(40kW단독)","","기기 고장(이용 불가)"
"서울시","마천동1 공영주차장","01","AC완속","주차시설","공영주차장","서울특별시","송파구 ","서울특별시 송파구 성내천로43길 6 마천동1 공영주차장 1층","24시간 이용가능","","완속(7kW단독)","",""
"서울시","마천동1 공영주차장","02","AC완속","주차시설","공영주차장","서울특별시","송파구 ","서울특별시 송파구 성내천로43길 6 마천동1 공영주차장 1층","24시간 이용가능","","완속(7kW단독)","",""
"서울시","마천동1 공영주차장","03","AC완속","주차시설","공영주차장","서울특별시","송파구 ","서울특별시 송파구 성내천로43길 6 마천동1 공영주차장 1층","24시간 이용가능","","완속(7kW단독)","",""
"서울시","망우역사문화공원 제3주차장","01","DC콤보","주차시설","공영주차장","서울특별시","중랑구 ","서울특별시 중랑구 망우동 산 56 망우역사문화공원 공영주차장 출구 주차장 출구 인근","24시간 이용가능","","급속(50kW단독)","",""
"서울시","망우역사문화공원 제3주차장","02","DC콤보","주차시설","공영주차장","서울특별시","중랑구 ","서울특별시 중랑구 망우동 산 56 망우역사문화공원 공영주차장 출구 주차장 출구 인근","24시간 이용가능","","급속(50kW단독)","",""
"서울시","망우역사문화공원 제3주차장","03","DC콤보","주차시설","공영주차장","서울특별시","중랑구 ","서울특별시 중랑구 망우동 산 56 망우역사문화공원 공영주차장 출구 주차장 출구 인근","24시간 이용가능","","급속(100kW동시)","",""
"서울시","망우역사문화공원 제3주차장","04","DC콤보","주차시설","공영주차장","서울특별시","중랑구 ","서울특별시 중랑구 망우동 산 56 망우역사문화공원 공영주차장 출구 주차장 출구 인근","24시간 이용가능","","급속(100kW동시)","",""
"서울시","망우제2 거주자주차장","01","DC콤보","주차시설","일반주차장","서울특별시","중랑구 ","서울특별시 중랑구 망우로71길 53 (망우동, 망우제2거주자주차장) 지상1층 진입로 정면 20M","주중 08:00~19:00, 주말 09:00~18:00","","급속(50kW단독)","",""
"서울시","망원3 노상공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","마포구 ","서울특별시 마포구 희우정로 125 유로5번(동덕주택 앞)","24시간 이용가능","","급속(50kW단독)","",""
"서울시","면목5동 공영주차장","01","DC콤보","공공시설","지자체시설","서울특별시","중랑구 ","서울특별시 중랑구 동일로 593 면목5동 공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","면목5동 공영주차장","02","DC콤보","공공시설","지자체시설","서울특별시","중랑구 ","서울특별시 중랑구 동일로 593 면목5동 공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","면일초등학교 공영주차장","01","DC콤보","공공시설","지자체시설","서울특별시","중랑구 ","서울특별시 중랑구 용마산로100길 13 면일초등학교 공영주차장","24시간 이용가능","","급속(50kW단독)","",""
"서울시","면일초등학교 공영주차장","02","DC콤보","공공시설","지자체시설","서울특별시","중랑구 ","서울특별시 중랑구 용마산로100길 13 면일초등학교 공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","면일초등학교 공영주차장","03","DC콤보","공공시설","지자체시설","서울특별시","중랑구 ","서울특별시 중랑구 용마산로100길 13 면일초등학교 공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","명일동 거주자주차장(127번)","01","DC콤보","주차시설","공영주차장","서울특별시","강동구 ","서울특별시 강동구 명일동 51-1 유료 127번주차구획 127번","24시간 이용가능","","급속(50kW단독)","",""
"서울시","명일동 거주자주차장(134번)","01","DC콤보","주차시설","공영주차장","서울특별시","강동구 ","서울특별시 강동구 명일동 51-1 유료 134번 구획주차구획 134번","24시간 이용가능","","급속(50kW단독)","",""
"서울시","목동공영주차장","01","DC콤보","주차시설","공영주차장","서울특별시","양천구 ","서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","목동공영주차장","02","DC콤보","주차시설","공영주차장","서울특별시","양천구 ","서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","목동공영주차장","03","DC콤보","주차시설","공영주차장","서울특별시","양천구 ","서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","목동공영주차장","04","DC콤보","주차시설","공영주차장","서울특별시","양천구 ","서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장","24시간 이용가능","","급속(100kW단독)","",""
"서울시","목동공영주차장","05","DC콤보","주차시설","공영주차장","서울특별시","양천구 ","서울특별시 양천구 목동동로 298 목동공영주차장목동공영주차장","24시간 이용가능","","급속(100kW단독)","",""
